"EntityId","NeId","NeAlias","NeType","EntityType","Time","Failure","C_Avg_Value","C_Max_Value","C_Min_Value","C_from0to5_Value","C_from5to10_Value","C_from10to15_Value","C_from15to20_Value","C_from20to25_Value","C_from25to30_Value","C_from30to35_Value","C_from35to40_Value","C_from40to45_Value","C_from45to50_Value","C_from50to55_Value","C_from55to60_Value","C_from60to65_Value","C_from65to70_Value","C_from70to75_Value","C_from75to80_Value","C_from80to85_Value","C_from85to90_Value","C_from90to95_Value","C_from95to100_Value","ElementID"
EN-0-16849-1-0-11-9-6-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-03 23:45:00.000,Success,31814.0,46171.0,25403.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-6-0-0-0-0-32-0)
EN-0-16849-1-0-11-9-6-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-04 00:00:00.000,Success,30162.0,41496.0,23486.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-6-0-0-0-0-32-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,6419.0,11442.0,3966.0,887.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-100-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,6256.0,16228.0,3958.0,890.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-100-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-100-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,6110.0,10792.0,3573.0,897.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-100-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,1506.0,4448.0,652.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-101-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,1850.0,4827.0,678.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-101-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-101-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,1424.0,4107.0,631.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-101-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,3128.0,7647.0,1428.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-102-0-0-0-0-33-0)
EN-0-16849-1-0-11-9-102-0-0-0-0-33-0,16849,GL0030,AMM 20PB,WAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,2734.0,7184.0,999.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_WAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-102-0-0-0-0-33-0)
